480,Crafters of Julianos,朱利亚诺斯的工匠
481,Smiths of Julianos,朱利亚诺斯史密斯
482,Summoners of Julianos,朱利亚诺斯的召唤者
249,Teachers of Julianos,朱利亚诺斯的老师
29,Dibella,迪贝拉
98,The House of Dibella,迪贝拉之家
99,The Order of the Lily,百合勋章
485,Apothecaries of Dibella,迪贝拉的药剂师
487,Mixers of Dibella,迪贝拉的搅拌机
488,Summoners of Dibella,迪贝拉的召唤者
250,Teachers of Dibella,迪贝拉的老师
33,Stendarr,斯坦达尔
106,The Temple of Stendarr,斯坦达尔神庙
107,The Crusaders,十字军
490,Apothecaries of Stendarr,斯坦达尔的药剂师
491,Mixers of Stendarr,Stendarr 搅拌机
492,Summoners of Stendarr,斯坦达尔的召唤者
252,Teachers of Stendarr,Stendarr的老师
35,Kynareth,凯纳雷斯
36,The Temple of Kynareth,凯纳雷斯神庙
37,The Kynaran Order,凯纳兰教团
370,Lord Coulder,科尔勋爵
497,Spellsmiths of Kynareth,凯纳瑞斯的法术工匠
498,Summoners of Kynareth,凯纳雷斯的召唤者
496,Enchanters of Kynareth,凯纳雷斯的附魔师
254,Teachers of Kynareth,凯纳雷斯的老师
977,Secret of Oblivion,遗忘的秘密
40,The Mages Guild,法师公会
68,The Archmagister,大魔导师
69,The Guildmagister,公会魔导师
369,Popudax,波普达克斯
396,Karethys,卡雷西斯
71,The Master of Incunabula,摇篮期的大师
70,The Master of Academia,学术界大师
74,The Master of the Scry,占卜大师
72,The Master at Arms,武器大师
73,The Palatinus,帕拉蒂努斯
76,The Master of Initiates,入门大师
60,The Academics,学者们
61,The Patricians,贵族们
62,The Travelers League,旅行者联盟
63,The Mercenary Mages,雇佣法师
64,The Isolationists,孤立主义者
65,The Utility Mages,实用法师
66,The Cabal,阴谋集团
67,The Order of the Lamp,灯的顺序
801,The Odylic Mages,奥德利克法师
802,The Crafters,工匠们
150,The Vraseth,弗拉塞斯
151,The Haarvenu,哈维努酒店
152,The Thrafey,特拉菲酒店
153,The Lyrezi,竖琴
154,The Montalion,蒙塔利翁酒店
155,The Khulari,库拉里人
156,The Garlythi,加里西人
157,The Anthotis,安索蒂斯
158,The Selenu,塞莱努
41,The Fighters Guild,战士公会
849,Fighter Trainers,战斗机训练师
850,Fighter Equippers,战斗机装备者
851,Fighter Questers,战士探索者
42,The Thieves Guild,盗贼公会
77,The Guildmaster,公会会长
373,The Crow,乌鸦
388,Thaik,泰克
399,The Squid,鱿鱼
375,Lord Bertram Spode,伯特伦·斯波德勋爵
374,Thyr Topfield,泰尔·托普菲尔德
389,Whitka,惠特卡
18,The Master of Initiates,入门大师
803,The Shadow Trainers,影子训练师
804,The Shadow Schemers,影子阴谋家
805,The Shadow Appraisers,影子鉴定师
806,The Shadow Spies,影子间谍
852,Random Ruler,随机标尺
242,Random Noble,随机贵族
853,Random Knight,随机骑士
200,Dwynnen,德温宁
516,Court of Dwynnen,德温宁法院
517,People of Dwynnen,德温宁人
414,The Order of the Raven,渡鸦教团
844,Generic Knightly Order,通用骑士团
845,Smiths,史密斯斯
846,Questers,探索者
847,Healers,治疗师
848,Seneschal,管家
201,Daggerfall,匕首落
364,King Gothryd,戈特里德国王
371,Mobar,莫巴尔
372,The Royal Guard,皇家卫队
365,Queen Aubk-i,奥布克女王
500,Cyndassa,辛达萨
366,Mynisera,米尼塞拉
367,Lord Bridwell,布里德韦尔勋爵
368,The Knights of the Dragon,龙骑士团
377,Lady Bridwell,布里德韦尔夫人
501,Lady Northbridge,诺斯布里奇夫人
595,Court of Daggerfall,匕落法庭
518,People of Daggerfall,匕首雨的人们
203,Betony,贝托尼
519,Court of Betony,贝托尼宫廷
520,People of Betony,贝托尼人
202,Glenpoint,格伦波因特
521,Court of Glenpoint,格伦波因特法院
522,People of Glenpoint,格伦波因特的人们
413,The Knights of the Owl,猫头鹰骑士团
204,Sentinel,哨兵
380,Queen Akorithi,阿克里希女王
383,Lord Vhosek,沃塞克勋爵
384,The Royal Guards,皇家卫队
381,Prince Greklith,格雷克利斯王子
382,Prince Lhotun,洛顿王子
386,Lord K'avar,卡瓦尔领主
408,The Order of the Candle,蜡烛的顺序
387,Lord Provlith,普罗夫利斯勋爵
596,Court of Sentinel,哨兵法庭
523,People of Sentinel,哨兵人
205,Anticlere,安蒂克莱尔
400,Lady Doryanna Flyte,多莉安娜·弗莱特女士
410,The Knights of the Flame,火焰骑士团
401,Lord Auberon Flyte,奥伯龙·弗莱特勋爵
403,Farrington,法灵顿
404,Lord Perwright,珀赖特勋爵
597,Court of Anticlere,安蒂克莱尔法院
524,People of Anticlere,安蒂克莱尔人民
206,Lainlyn,莱恩林
379,Baron Shrike,伯劳男爵
411,The Host of the Horn,号角的主人
405,Baroness Dh'emka,德姆卡男爵夫人
406,Lord Kain,凯恩勋爵
246,Court of Lainlyn,兰林法院
525,People of Lainlyn,兰林人
207,Wayrest,途中休息
390,King Eadwyre,埃德威尔国王
391,Queen Barenziah,巴兰兹雅女王
392,Princess Elysana,艾莉莎娜公主
393,Prince Helseth,赫尔塞斯王子
394,Princess Morgiah,莫吉亚公主
395,Lord Castellian,卡斯特利安勋爵
397,Lord Darkworth,达克沃斯勋爵
409,The Knights of the Rose,玫瑰骑士团
398,Lord Woodborne,伍德伯恩勋爵
499,Court of Wayrest,途歇法庭
526,People of Wayrest,途歇之地的人们
208,Northmoor,诺斯莫尔
527,Court of Northmoor,诺斯莫尔法院
528,People of Northmoor,诺斯莫尔人
209,Menevia,梅内维亚
529,Court of Menevia,梅内维亚宫廷
530,People of Menevia,梅尼维亚人
210,Alcaire,阿尔凯尔
531,Court of Alcaire,阿尔凯法院
532,People of Alcaire,阿尔凯尔人
211,Koegria,苋菜属
533,Court of Koegria,科格里亚法院
534,People of Koegria,科伊格里亚人
212,Bhoriane,博里安
535,Court of Bhoriane,博里安法院
536,People of Bhoriane,博里安人
213,Kambria,坎布里亚
537,Court of Kambria,坎布里亚法院
538,People of Kambria,坎布里亚人
214,Phrygias,弗里吉亚斯
539,Court of Phrygias,弗里吉亚宫廷
540,People of Phrygias,弗里吉亚人
215,Urvaius,乌尔韦乌斯
541,Court of Urvaius,乌尔韦乌斯宫廷
542,People of Urvaius,乌尔韦乌斯人
216,Ykalon,伊卡隆
543,Court of Ykalon,伊卡隆宫廷
544,People of Ykalon,伊卡隆人
217,Daenia,丹尼亚
545,Court of Daenia,戴尼亚宫廷
546,People of Daenia,戴尼亚人
218,Shalgora,沙尔戈拉
547,Court of Shalgora,沙尔戈拉宫廷
548,People of Shalgora,沙尔戈拉人
219,Abibon-Gora,阿比邦戈拉
549,Court of Abibon-Gora,阿比邦戈拉宫廷
550,People of Abibon-Gora,阿比本戈拉人
415,The Knights of the Wheel,车轮骑士团
220,Kairou,凯鲁
551,Court of Kairou,凯鲁宫廷
552,People of Kairou,凯鲁人
221,Pothago,波塔戈
553,Court of Pothago,波塔戈宫廷
554,People of Pothago,波塔戈人
222,Myrkwasa,米尔克瓦萨
555,Court of Myrkwasa,米尔克瓦萨宫廷
556,People of Myrkwasa,米尔克瓦萨人
223,Ayasofya,阿亚索菲亚
557,Court of Ayasofya,阿亚索菲亚宫廷
558,People of Ayasofya,阿亚索菲亚人
224,Tigonus,提戈努斯
559,Court of Tigonus,提戈努斯宫廷
560,People of Tigonus,提戈努斯的人民
225,Kozanset,科赞塞特
561,Court of Kozanset,科赞塞特宫廷
562,People of Kozanset,科赞塞特人
226,Satakalaam,萨塔卡兰
563,Court of Satakalaam,萨塔卡兰法院
564,People of Satakalaam,萨塔卡兰人
227,Totambu,托坦布
565,Court of Totambu,托坦布法院
566,People of Totambu,托坦布人
416,The Order of the Scarab,圣甲虫骑士团
228,Mournoth,莫诺斯
567,Court of Mournoth,哀伤法庭
568,People of Mournoth,莫诺斯人
229,Ephesus,以弗所
569,Court of Ephesus,以弗所宫廷
570,People of Ephesus,以弗所人
230,Santaki,三木
571,Court of Santaki,桑塔基法院
572,People of Santaki,桑塔基人
231,Antiphyllos,安提叶洛斯
573,Court of Antiphyllos,安蒂菲洛斯宫廷
574,People of Antiphyllos,安提菲洛斯的人民
417,The Knights of the Hawk,鹰骑士团
232,Bergama,贝尔加马
575,Court of Bergama,贝尔加马宫廷
576,People of Bergama,贝尔加马人
233,Gavaudon,加沃东
577,Court of Gavaudon,加沃东宫廷
578,People of Gavaudon,加沃东人
234,Tulune,图卢内
579,Court of Tulune,图卢恩法院
580,People of Tulune,图卢恩人
235,Ilessan Hills,伊莱桑山
581,Court of Ilessan Hills,伊莱桑山法院
582,People of Ilessan Hills,伊莱桑山的人们
236,Cybiades,西比亚德斯
583,Court of Cybiades,赛比亚德斯法庭
584,People of Cybiades,赛比亚迪斯人
301,The Oracle,神谕者
302,The Acolyte,侍僧
303,Nulfaga,努尔法加
304,Skakmat,斯卡克马特
305,King of Worms,蠕虫之王
306,The Necromancers,死灵法师
350,The Septim Empire,塞普汀帝国
351,The Great Knight,伟大的骑士
129,The Blades,刀锋队
352,Lady Brisienna,布里西安娜夫人
353,The Underking,地下之王
354,Agents of The Underking,地下之王的特工
355,Lord Harth,哈斯勋爵
412,The Host of the True Horn,真角之主
358,Orsinium,奥西纽姆
357,Gortwog,戈特沃格
598,Court of Orsinium,奥西纽姆宫廷
599,People of Orsinium,奥辛纽姆人
359,Lord Plessington,普莱辛顿勋爵
418,The Order of the Cup,杯赛顺序
360,Lord Kilbar,基尔巴勋爵
361,Chulmore Quill,查莫尔羽毛笔
362,The Quill Circus,鹅毛笔马戏团
376,Baltham Greyman,巴尔瑟姆·格雷曼
378,Sylch Greenwood,西尔奇·格林伍德
419,The Glenmoril Witches,格伦莫里尔女巫
420,The Dust Witches,尘埃女巫
421,The Witches of Devilrock,恶魔岩女巫
422,The Tamarilyn Witches,塔玛琳女巫
423,The Sisters of the Bluff,悬崖姐妹会
424,The Daughters of Wroth,愤怒的女儿们
425,The Skeffington Witches,斯凯芬顿女巫
426,The Witches of the Marsh,沼泽女巫
427,The Mountain Witches,山女巫
428,The Daggerfall Witches,匕落女巫
429,The Beldama,贝尔达玛
430,The Sisters of Kykos,基科斯姐妹
431,The Tide Witches,潮汐女巫
432,The Witches of Alcaire,阿尔凯尔的女巫
510,The Merchants,商人
511,The Bards,吟游诗人
512,The Prostitutes,妓女们
513,The Fey,妖精
514,Children,孩子们
515,Dancers,舞者
502,Wrothgaria,沃思加利亚
503,Court of Wrothgaria,沃斯加里亚法院
504,People of Wrothgaria,沃斯加利亚人
505,Dragontail,龙尾
506,Court of Dragontail,龙尾法庭
507,People of Dragontail,龙尾人
508,Alik'ra,阿利克拉
509,Court of Alik'ra,阿利卡拉宫廷
590,People of Alik'ra,阿利卡拉人民
591,Dak'fron,达克芙隆
592,Court of Dak'fron,达克夫隆法庭
593,People of Dak'fron,达克夫隆人
199,Isle of Balfiera,巴尔费拉岛
363,Medora,梅多拉
244,Court of Balfiera,巴尔费拉宫廷
198,People of Balfiera,巴尔菲拉人民
196,Glenumbra Moors,格伦布拉沼泽
195,Court of Glenumbra Moors,格伦布拉摩尔法院
194,People of Glenumbra Moors,格伦布拉荒原的人们
