Key,Value,T
53891732,Ruins of Old Sles-i's Farm,旧斯莱斯 - 我农场的废墟
54940340,Mogandaton,Mogandaton
55989066,The Rurcur Graveyard,Rurcur墓地
57037717,The Vlozir Vaults,Vlozir穹顶
58086314,The Tricerlorog Web,Tricerlorog网络
59135650,Ruins of The Rlethten Farmstead,rlethten农场的废墟
60184362,The Marexulla Manse,马克萨拉曼斯
61233933,Grejon Palace,格里琼宫
62282512,The Cairn of Balthobam,巴尔索巴姆的凯恩
63331146,The Sepulcher of Lithehoth,Lithehoth的坟墓
64379737,Dhalpem Hall,Dhalpem Hall
65429189,THe Crypts of Chort,Chort的地下室
66477767,Zenunnuga,Zenunnuga
67526394,Rhogila,Rhogila
68575045,Garin Manor,加林庄园
69624526,The Citadel of Kherdar,克里达的城堡
70673223,Tower Dasen,达森塔
71722522,Old Mught-si's Shack,老Mught-Si的棚屋
72771108,Burning Idol of Stendarr,燃烧的偶像
73819798,Khurtin Court,库尔丁法院
74868381,Osopaisa,奥索萨
75917092,The Flor Pit,弗洛尔坑
76966430,The Maelinxullah Hermitage,毛lin虫冬宫
78015130,The Restless Badger Inn,不安的badger旅馆
79064561,Shallir Tower,障碍塔
80113160,Ruins of Rlold'kern Tower,Rlold'Kern Tower的废墟
81161870,Mesascuza,Mesascuza
82210490,Ceriburea,Ceribrea
83259071,Baghissibu,巴格希库
84307700,B'ird Palace,B'ird Palace
85356287,The Friary of Geriblither,geriblither的修女
86405622,The Relder Cemetery,墓地
87454323,Baerpe Manor,Baerpe Manor
88502910,Sacred Seer of Stendarr,Stendarr的神圣先知
89551540,Fhirht'kern Tower,Fhirht'kern塔
90600914,Mhustun Hall,Mhustun Hall
91649523,Ruins of The Maeshke Farmstead,Maeshke Farmstead的废墟
92698270,Bleeding Sunrise of Stendarr,Stendarr的出血日出
93747600,Ruins of The Barpen Farmstead,bar
94796189,Ruins of Racher Manor,拉赫庄园的废墟
95844799,The Birker Graveyard,伯克墓地
96893512,The Lhojin Cemetery,Lhojin公墓
97942118,Sashthrac,腰带
98991510,Ruins of The Tosom Plantation,t
100040090,Coven in the Marsh,沼泽
101088668,The Web of Trogdred,Trogred的网络
102137467,Naraharet,Naraharet
103186065,Ruins of B'ijur Hall,B'ijur Hall的废墟
104235398,Gentle Star of Stendarr,Stendarr的温柔之星
105283981,The Kildir Cemetery,基尔迪尔公墓
106332587,Ruins of Maarp Tower,马拉普塔的废墟
107381381,Sairer Court,Sairer Court
108429959,Castle Vorg,沃格城堡
109479287,Ruins of The Vluctten Farmstead,Vluctten Farmstead的废墟
110527893,The Sahuagex Cave,Sahuagex洞穴
111576593,M'arg Manor,M'arg Manor
112625185,Mogindai,Mogindai
113673773,The Stuvam Graveyard,史黛姆墓地
114723151,Castle Kog'kern,城堡Kog'kern
115771856,Nardir Hall,纳尔迪尔音乐厅
116820498,Old Ghartsa's Hovel,旧的加特萨的霍夫尔
117869111,Charken Manor,查肯庄园
118917700,Castle Shurgrn,城堡舒尔格恩
119966282,Wadijehnu,Wadijehnu
121015569,Anthor's Web,Anthor的网络
122064188,Burning Sunrise of Stendarr,Stendarr的燃烧日出
123112886,Ramehtor,ramehtor
124161500,The Hold of Slachke,斯拉赫克的持有
125210098,Javenia,Javenia
126258734,The Fox and Barbarian Tavern,狐狸和野蛮的小酒馆
127307321,The Unfortunate Castle Lodge,不幸的城堡小屋
128356798,The Queen's Fawn Inn,女王小鹿旅馆
129405455,Thorm'kern Manor,Thorm'kern庄园
130454792,Rlirm Manor,Rlirm庄园
131503383,Ruins of The Tower of Rlortrn,塔塔的废墟
132551983,The Nhurche Tunnel,Nhurche隧道
133600681,The Cyujer Farmstead,Cyujer Farmstead
134649286,The T'irman Cabin,t'irman舱
135698635,Bleeding Idol of Stendarr,Stendarr的流血偶像
136747259,The Lion and Priest Hostel,狮子和牧师旅馆
137796000,Daghoth,达格特
138844664,The Mhafylar Cemetery,Mhafylar公墓
139894101,The Tomb of Invereham,Invereham墓
140942714,Ruins of Lhigin Hall,ligin厅的废墟
141992095,THe Crypts of B'ugten,B'ugten的地下室
143040735,Ruins of Castle Kist,城堡的废墟
144089467,The Mole and Griffin Pub,痣和格里芬酒吧
145138118,The Cairn of Vladobion,Vladobion的凯恩
146187374,Djen Lodge,Djen Lodge
147236000,Faugta's Guard,Faugta的警卫
148284604,Perpetual Sunrise of Stendarr,Stendarr的永久日出
149333306,The Fortress of Therdke,Therdke的堡垒
150381889,Ruins of Tower Baerhton,塔贝尔顿的废墟
151432271,Ceranda-Kom,Cerande-Kom
152480861,The Baalateusessa Cavern,Baalateusessa Cavern
153529477,The Slugir Cemetery,Slugir公墓
154578056,The Red Giant Tavern,红色巨人小酒馆
155627572,Ruins of Rlictt Court,Rlictt法院的废墟
156676394,The Thirsty Castle Inn,口渴的城堡旅馆
157725708,Ruins of Fherkin's Guard,弗金警卫的废墟
158774290,The Dead Djinn Lodge,死去的Djinn Lodge
159822972,Ruins of The D'uctem Farmstead,d'uctem farmstead的废墟
160871558,Wailing Omen of Stendarr,Stendarr的哀号
161920136,The Devil's Ogre Pub,魔鬼的食人魔酒吧
162968729,Ruins of The F'ormte Cabin,f'ormte舱的废墟
164018199,The Baeght Cemetery,Baeght公墓
165067009,Naroza,Naroza
166116413,Ruins of The Old Caarme Hovel,古老的卡姆·霍夫尔的废墟
167165096,Ruins of Slarkon Grange,斯拉肯农庄的废墟
168214503,Jode Shrine,乔德神社
169263116,Wailing Altar of Stendarr,Stendarr的哀号
170311731,Inner Sunrise of Stendarr,stendarr的内在日出
171360386,Shelter of Phen,现象的庇护所
172409839,Burning Redeemer of Stendarr,Stendarr的燃烧救赎主
173458441,Alik'ra,Alik'ra
174507143,Ruins of Old Grefylta's Farm,旧格雷夫尔塔农场的废墟
175556631,Old Maurc-i's Hovel,老毛克-i的霍夫尔
176605288,Anteleralah,Anteleralah
177654661,Demiblothessa Minster,Demiblothessa Minster
178703270,The Lynx and Goblin Hostel,Lynx和Goblin Hostel
179752024,Ramoaweyn,Ramoaweyn
180802482,The Old Chirkon Place,旧的奇尔肯地方
181851069,Ruins of Vuster Grange,Vuster Grange废墟
182899749,Castle Khojon,霍蒙城堡
183949105,The F'arkte Farmstead,F'arkte Farmstead
184997721,The Dirty Porcupine Pub,肮脏的豪猪酒吧
186046301,The Web of Gromgod,Gromgod的网络
187094929,Zagoccodisu,Zagoccodisu
188143528,Ruins of The Chesun Cabin,ch
189193190,Syrogubu,Syrogubu
190242556,The Tomb of Barovar,巴罗瓦墓
191291157,The Old Nhuv Shack,老Nhuv棚屋
192339864,Maurp Manor,莫尔庄园
193388504,The Old Guch Hovel,古老的古奇霍夫尔
194437841,The Old Mhosta Shack,旧的mhosta棚屋
195486481,The Web of Anker,Anker的网络
196536104,Old M'ormta's Farm,旧的莫姆塔农场
197584745,Wailing Rebirth of Stendarr,Stendarr的哭泣重生
198633375,Sacred Soul of Stendarr,Stendarr的神圣灵魂
199682739,Cheshon Hall,切什霍尔
200732271,The Unfortunate Priest Pub,不幸的牧师酒吧
201780964,Mettula,Mettula
202829551,Mi-Korom,mi-korom
203879193,Glork's Hold,格洛克的持有
204928583,Old Cughtca's Hovel,旧的cughtca的小屋
205977264,The Dwarf and Guard Tavern,矮人和后卫小酒馆
207025856,Ruins of Therhtta Court,Turhtta法院的废墟
208074444,Faofylar's Guard,黄褐色的警卫
209123897,Eternal Redeemer of Stendarr,Stendarr的永恒救赎主
210173448,Shrine of Ephen,埃芬神社
211222058,The Den of Shesh'kern,谢什·凯恩的书房
212270681,Old Fhordja's Farm,旧的Fhordja农场
213319309,Ruins of The Thelprn Plantation,Thelprn种植园的废墟
214368756,Dhortar Tower,Dhortar塔
215417370,The C'eldur Cemetery,C'eldur公墓
216466044,T'orgen Palace,T'orgen Palace
217514723,The Citadel of Cyorpen,雌雀的城堡
218564063,Kellan Hall,凯兰·霍尔
219612654,Shrestta Tower,Shrestta塔
220661236,Fearful Oracle of Stendarr,恐怖的stendarr的甲骨文
221709922,The F'isun Plantation,F'ISUN种植园
222759570,Ruins of Saughtur Orchard,萨格尔果园的废墟
223808184,Blarmir Grange,Blarmir Grange
224856764,Jalakaplex,Jalakaplex
225906201,Ruins of The Hold of Shag,沙特的废墟
226954808,The Old Nafylam Shack,旧的nafylam棚屋
228004335,Perpetual Soul of Stendarr,Stendarr的永恒灵魂
229053016,The Gripbith Web,Gripbith网络
230101594,Mesopada,中田
231152074,Togem Manor,Togem Manor
232200795,Ruins of C'orc Court,C'orc法院的废墟
233250323,Ruins of Baerd'kern Manor,Baerd'Kern Manor的废墟
234299737,Blessed Soul of Stendarr,Stendarr的祝福灵魂
235348344,Blith Hall,布里斯大厅
236397881,The Old Dhergrn Hovel,旧的dhergrn hovel
237446494,Lheth Hall,LHETH HALL
238495080,The Mouse and Goat Hostel,鼠标和山羊旅馆
239543676,The Stronghold of Merdun,梅尔登的据点
240592287,The Crypt of Nebuchanon,尼布坎农的地下
241641772,Khath Grange,Khath Grange
242690359,Ruins of The Old Murchke Place,旧默奇地方的废墟
243738940,Ruins of Dherht Hall,德赫特大厅的废墟
244787524,The Quarry of Faeghtir,Faeghtir的采石场
245836138,Narelidai,Narelidai
246884751,Ruins of Old Tistka's Shack,旧蒂斯卡棚屋的废墟
247933417,The Rat and Scorpion Hostel,老鼠和蝎子旅馆
248982810,Gentle Redeemer of Stendarr,Stendarr的温柔救赎主
250031467,The Old Glull'kern Hovel,老Glull'Kern Hovel
251080048,Caorpt Hall,小礼堂
252128714,Tsetissiara,Tsetissiara
253178103,Shrine of Q'Olwen,Q'olwen的神社
254227629,Yagertor's Nest,Yagertor的巢
255276232,Hillia,希利亚
256324812,The Balulither Rectory,秃顶教区
257373454,Shrine of Jone,乔恩神社
258423937,Bleeding Soul of Stendarr,Stendarr的流血灵魂
259472602,Singing Light of Stendarr,Stendarr的歌声
260522155,Sturner Hall,斯特纳尔大厅
261570737,Raminzar,拉米萨尔
262619463,Tlafylun Palace,tlafylun宫
263668060,Sacred Idol of Stendarr,Stendarr的神圣偶像
264717445,The Den of Rharmer,Rharmer的巢穴
265766076,The Dirty Huntsman Pub,肮脏的猎人酒吧
266814675,Rharg Hall,Rharg Hall
267863330,The Fortress of Nhorchen,Nhorchen的堡垒
268911915,Ruins of Boster Manor,寄托庄园的废墟
269961337,Agogurana,Agogurana
271011060,Vellen's Hold,Vellen的持有
272059640,Blermom Manor,Blermom Manor
273109087,Joyous Omen of Stendarr,Stendarr的欢乐预兆
274158713,The Old Stachum Shack,老Stachum Shack
275207373,Holy Omen of Stendarr,斯坦达尔的圣兆
276256713,Bi-Korom,Bi-korom
277305359,Ruins of Bluchin Court,布鲁钦法院的废墟
278353957,The Troglobith Web,Troglobith Web
279402560,The Dancing Skull Lodge,跳舞的头骨小屋
280451157,Ruins of The Old Curpun Place,古老的库尔彭地方的废墟
281500599,The Masoleum of Nebuchingus,苏珊
282549244,Ruins of The Lhechin Farmstead,lhechin farmstead的废墟
283597859,Osajdai,Osajdai
284646505,Holy Ascencion of Stendarr,史塔达尔的圣升
285695991,Djen Lodge,Djen Lodge
286744615,Fearful Redeemer of Stendarr,恐怖的救赎者Stendarr
287793210,Syruria,Syruria
288841797,Ruins of Tower Grughtir,塔的废墟
289891195,Ruins of Raovon Grange,Raovon Grange废墟
290939827,Glifylim Hall,Glifylim Hall
291988418,The Larm Crypts,拉姆的地下室
293037082,Kog'kern Hall,科格·凯恩·霍尔
294085697,Ruins of The Old Nerchem Hovel,旧的nerchem hovel废墟
295135097,The Krorchem Graveyard,Krorchem墓地
296183718,The Lhern Farmstead,Lhern Farmstead
297233252,Ruins of The Slelpke Farmstead,斯莱尔普·农斯特德的废墟
298281971,The Barrow of Barimar,巴里马尔的巴罗
299330569,The Sepulcher of Stadulam,Stadulam的坟墓
300379149,Shastar's Guard,Shastar的后卫
301427780,The Fortress of Nusan,努森要塞
302477180,Inner Altar of Stendarr,斯坦德尔的内祭
303525778,Maeldem Grange,Maeldem Grange
304574455,The Lall Lode,LALL堆
305623831,The Howling Giant Lodge,how叫巨人小屋
306672563,The Stronghold of Dhortum,Dhortum的据点
307721988,Weeping Sunrise of Stendarr,哭泣的日出Stendarr
308770593,Castle Nezon,尼松城堡
309819214,The Old Vosten Shack,旧的vosten棚屋
310867837,Ruins of The Citadel of T'ig,t'ig城堡的废墟
311916424,Ruins of The Vloghten Farmstead,vloghten农场的废墟
312965044,Shrine of Dugrod,Dugrod神社
314014480,The Crimson Dragon Inn,深红龙旅馆
315063105,The Rat and Castle Lodge,老鼠和城堡小屋
316111685,Blessed Omen of Stendarr,Stendarr的祝福预兆
317160266,Reliquary of Raen,Raen的遗物
318208914,Gysumbakat,Gysumbakat
319257524,Old Mausga's Shack,老莫斯加的棚屋
320306128,Ruins of Old Rhoghti's Farm,旧rhoghti农场的废墟
321355517,Naremida,纳雷米达
322404132,Krovt's Hold,克罗夫特的持有
323452780,Krofylim Manor,克罗夫利姆庄园
324501422,The Cairn of Necromulam,死灵的凯恩
325550786,Gentle Omen of Stendarr,Stendarr的温柔兆头
326599516,Ruins of The Flelp Farmstead,弗雷普农场的废墟
327648095,The Red Pit Lodge,红坑小屋
328696679,Old C'ichka's Place,老c'ichka的地方
329745279,Infinite Sunrise of Stendarr,Stendarr的无限日出
330793882,Ruins of Old Gheldsa's Hovel,旧盖尔达霍夫尔的废墟
331843236,The Old Slarn Shack,旧的Slarn Shack
332892809,V'ej Hall,V'ej Hall
333941395,The Lair of Vermgod,Vermgod的巢穴
334989983,Lhugin Orchard,卢金果园
336038589,The Dwarf and Stag Inn,矮人和雄鹿旅馆
337087215,The Tower of Churhten,Churhten的塔
338135797,Pheono-Thar,pheono-thar
339184390,Ruins of Castle Berk,伯克城堡废墟
340233021,Isfunnusa,isfunnusa
341281613,The Fuctur Graveyard,Fuctur墓地
342331000,The Savage Guard Tavern,野蛮的警卫小酒馆
343379608,Sacred Redeemer of Stendarr,Stendarr的神圣救赎主
344428193,The Old M'arken Place,旧的M'arken地方
345476776,Ruins of The Old T'oldin Place,旧t'oldin地方的废墟
346525472,The Fortress of Sught,Sught的要塞
347574925,Anteliiga,Anteliiga
348623583,The Old T'arun Hovel,旧的t'arun hovel
349672193,The Green Scorpion Lodge,绿色蝎子小屋
350721642,Fearful Sunrise of Stendarr,Stendarr的恐惧日出
351770233,The Tower of Saaz,萨兹的塔
352818852,The Khallrn Cemetery,Khallrn公墓
353867436,Singing Tree of Stendarr,Stendarr的唱歌树
354916022,Zenibunis,Zenibunis
355964708,Tlirt Manor,Tlirt Manor
357014063,Bej's Hold,贝吉的持有
358062759,B'ivta Grange,B'ivta Grange
359111377,The Abbey of Asmiameusessa,Asmiameusessa的修道院
360159968,The Queen's Skull Pub,女王的头骨酒吧
280614,Corranoth's Tomb,科拉诺特的坟墓
1330211,Joyous Altar of Arkay,阿凯的欢乐祭坛
2379774,Devilrock Coven,Devilrock Coven
3429338,The Unfortunate Goblin Tavern,不幸的妖精小酒馆
4479901,Madla,马德拉
5528488,The Old Lhez Shack,旧的lhez棚屋
6578066,The Slojin Crypts,Slojin Crypts
7626665,D'ermon Manor,D'Ermon Manor
8675250,Old Bazsa's Farm,旧巴兹的农场
9724788,The Laughing Muskrat Inn,笑的马斯克拉特旅馆
10774406,Blessed Omen of Arkay,Arkay的祝福预兆
11823947,Ruins of The Gig Plantation,ru
12873513,Dhughtam Hall,Dhughtam Hall
13922119,The Flurt-si Coven,flurt-si盟约
14971661,The Silver Chasm Pub,银鸿沟
16021288,The Mines of Klostir,克洛斯蒂尔的矿山
17070814,The Lhild Plantation,Lhild种植园
18120387,Grardum Manor,勇敢的庄园
19169012,Silent Idol of Arkay,阿凯的无声偶像
20220570,Old Krollga's Place,旧克罗尔加的地方
21269149,The Kornten Graveyard,Kornten墓地
22318700,Silent Oracle of Arkay,寂静的阿凯的甲骨文
23367291,The Pig and Dagger Hostel,猪和匕首旅馆
24416873,Bubilliga,Bubilliga
25465475,The Old Cyeghtom Shack,旧的Cyeghtom Shack
26514055,The Beaver and Dungeon Tavern,海狸和地牢小酒馆
27563571,Gentle Star of Arkay,阿凯温柔的明星
28613157,Syrillitor,Syrillitor
29661742,Old Starnca's Shack,老Starnca的棚屋
30711352,The Lion and Giant Tavern,狮子和巨型小酒馆
31761888,Moweyn,Moweyn
32810498,The Livrn Farmstead,Livrn Farmstead
33860020,The Dancing Muskrat Inn,跳舞的马斯克拉特旅馆
34908636,The Unfortunate Stag Pub,不幸的雄鹿酒吧
35957224,The Old Flirhtam Shack,旧的Flirhtam棚屋
37006757,The Gold Goblin Pub,金妖精酒吧
38055401,Divad Monument,Divad纪念碑
39104906,The Mole and Griffin Tavern,痣和格里芬小酒馆
40153505,The Red Djinn Pub,红色Djinn酒吧
41202086,Atrandarea,Atrandarea
42250688,Gheghte Court,Gheghte Court
43300230,Ruins of Old Nhornki's Shack,旧nhornki棚屋的废墟
44349839,The Gold Huntsman Tavern,金猎人小酒馆
45398435,The Black Castle Hostel,黑城堡旅馆
46447951,Burning Prophet of Arkay,阿凯的燃烧先知
47496543,Eternal Idol of Arkay,阿凯的永恒偶像
48546121,The Nethom Cabin,nethom小屋
49594710,The Restless Dagger Lodge,不安的匕首小屋
50644300,The Demodoth Cave,Demodoth洞穴
51693862,The V'est Farmstead,v'est farmstead
52743394,The Stafylin Cemetery,Stafylin公墓
53791978,Ruins of Saolpom's Hold,索尔波姆的废墟
54840572,Old Saullca's Hovel,老式沙尔卡的小屋
55890138,Bubogureg,Bubogureg
56939726,Jaluh-Thar,jaluh-thar
57988316,Castle Nhircte,城堡Nhircte
59037842,Old Fhorni's Place,老福尼的地方
60087432,The Quarry of Khegem,Khegem的采石场
61136024,Inverivaus's Barrow,Inverivaus的巴罗
62184614,The Old Cherk Hovel,旧的切尔克·霍维尔
63233210,The Old Vernin Hovel,旧的Vernin Hovel
64281800,The Quarry of Caallam,卡拉姆的采石场
65331301,The Larten Plantation,LARTEN种植园
66379920,The M'ell Graveyard,M'ell墓地
67428498,Bleeding Sunrise of Arkay,Arkay的出血日出
68478031,The Flurgrn Plantation,Flurgrn种植园
69526636,Shelter of Phen,现象的庇护所
70575230,The Toad and Guard Lodge,蟾蜍和后卫小屋
71624781,Fearful Altar of Arkay,恐惧的阿凯祭坛
72673360,Pythandarea,pythandarea
73721998,Holy Omen of Arkay,阿凯的圣兆
74771525,The House of Barimar,巴里马尔的房子
75820115,The Ras Mines,拉斯地雷
76868705,The Quarry of Tarur,塔鲁的采石场
77917283,The Dead Giant Lodge,死去的巨型旅馆
78966863,The C'olpten Farmstead,C'Olpten Farmstead
80015445,Ruins of Castle Kluct,克洛克城堡的废墟
81064986,The Masoleum of Lithivarulon,岩石列龙的马塞勒姆
82114541,Old Cyagti's Farm,旧的赛格蒂农场
83163142,The Graves of Voshen,沃申的坟墓
84211725,The Stronghold of Cyus,Cyus的据点
85261281,The Lynx and Scorpion Inn,Lynx和Scorpion Inn
86309862,Kruct Hall,Kruct Hall
87358449,Dhugta Manor,杜格塔庄园
88409061,Old Nornga's Farm,老诺纳的农场
89458556,The Dwarf and Goblin Hostel,矮人和妖精的旅馆
90507160,The Lion and Mug Inn,狮子和杯子旅馆
91556742,Ruins of Vormke Tower,Vormke Tower的废墟
92605339,The Laughing Stag Pub,笑的雄鹿酒吧
93654858,Berht Manor,Berht Manor
94704453,The Lucky Dagger Inn,幸运匕首旅馆
95753093,Gysila-Korom,Gysila-korom
96802664,Old Flurm-si's Shack,旧的Flurm-Si棚屋
97852176,The Thirsty Bird Tavern,口渴的鸟小酒馆
98900755,The Screaming Goblin Lodge,尖叫的妖精小屋
99949360,The Green Porcupine Tavern,绿色豪猪小酒馆
100997944,The Chishan Farmstead,Chishan Farmstead
102046546,The Unfortunate Huntsman Inn,不幸的亨斯曼旅馆
103095127,Rlirn Palace,Rlirn Palace
104144622,Ruins of Fovta Manor,Fovta Manor的废墟
105193222,Weeping Omen of Arkay,哭泣的Arkay的预兆
106241831,Ramyryzar,拉姆里扎尔
107290433,The Sashirdon Nest,sashirdon巢
108339922,Vaghtam Palace,Vaghtam宫
109388506,Dhart Manor,达特庄园
110437084,Atretturana,Atretturana
111485666,Ruins of Fectan Court,菲山法院的废墟
112534275,Castle Flarcke,城堡弗拉尔克
113583869,Gentle Light of Arkay,柔和的arkay
114632454,The Sekithoth Aerie,Sekithoth Aerie
115681966,The Black Helm Hostel,黑头盔宿舍
116730577,The Flying Gnome Inn,飞行侏儒旅馆
117779168,The Klurper Farmstead,klurper farmstead
118827763,The Old Dhich'kern Place,旧的Dhich'kern地方
119878318,The Mines of Mhulpen,Mhulpen的矿山
120927858,Fhaz Orchard,Fhaz果园
121976502,The Dispuliva Grotto,dispuliva洞穴
123026027,Sashirrugoth,sashirrugoth
124074624,Infinite Redeemer of Arkay,Arkay的无限救赎主
125123236,The Quarry of Fhuzur,Fhuzur的采石场
126172736,C'urken Manor,C'urken庄园
127221323,Sacred Altar of Arkay,阿凯的神圣祭坛
128269915,The Bat and Dragon Lodge,蝙蝠和龙旅馆
129318524,The Fox and Barbarian Lodge,狐狸和野蛮旅馆
130368048,The Vlorte Tunnel,弗洛特隧道
131416636,The Bluct Graveyard,蓝色墓地
132465238,Ruins of Flillon Court,弗里隆法院的废墟
133513843,THe Crypts of Rlertim,rlertim的地下室
134563343,The Saistta Lode,Saistta矿
135611974,Perpetual Seer of Arkay,Arkay的永久先知
136660578,Castle Larker,城堡拉克
137710091,The Old Charm Hovel,旧的魅力小屋
138758725,The Laughing Djinn Tavern,笑的Djinn Tavern
139807303,Joyous Relic of Arkay,Arkay的欢乐遗物
140856833,The Fox and Ogre Tavern,狐狸和食人魔小酒馆
141905448,The Mole and Gnome Tavern,痣和侏儒小酒馆
142954036,The Gold Hedgehog Inn,金刺猬旅馆
144003528,Tower Fhormt,塔楼
145052109,Old Grochta's Place,老格罗塔的地方
146100692,Castle Lhov,城堡LHOV
147149284,Vojten Hall,Vojten Hall
148197873,Cerehzar,Cerehzar
149247395,Ruins of Old Ghurtti's Farm,旧古尔蒂农场的废墟
150295979,The Silver Skull Inn,银头骨旅馆
151345575,The Savage Wolf Pub,野蛮的狼酒吧
152394215,The Green Goblin Pub,绿色妖精酒吧
153443738,The Lujir Quarry,卢吉尔采石场
154492334,The Bat and Djinn Pub,蝙蝠和Djinn酒吧
155542890,Infinite Omen of Arkay,阿凯的无限预兆
156591521,Old Stort-si's Farm,旧的Stort-Si农场
157641013,Gloste Grange,格洛斯特农庄
158689599,Ruins of V'esh Manor,V'esh Manor的废墟
159738185,Berbibusa,Berbibusa
160786781,The Grurmun Excavation,Grurmun发掘
161836332,The Savage Muskrat Tavern,野蛮的马斯克拉特小酒馆
162884980,The Old Rhiste Hovel,老瑞斯·霍夫尔（Rhiste Hovel）
163933562,Castle Chuctom,城堡堂
164983033,The Nhulpun Farmstead,Nhulpun Farmstead
166031626,Tasillia,塔西利亚
167080208,The White Bird Inn,白鸟旅馆
168128795,Ruins of The Shrog Plantation,shr
169177410,Ruins of The Hold of B'ilpten,B'ilpten的废墟
170226015,Peliisa,peliisa
171275589,Chucton Palace,Chucton Palace
172324176,The Tomb of Baromius,Baromius墓
173372759,The Dhurim Farmstead,Dhurim Farmstead
174422256,Gromegon,Gromegon
175470868,The Old Sirg'kern Shack,旧的sirg'kern棚屋
176519461,Perpetual Light of Arkay,永恒的arkay
177568970,Nithe Manor,Nithe庄园
178617558,Ruins of The Old Girhton Hovel,古老的吉尔顿霍夫尔废墟
179667145,Ruins of Old Khillba's Hovel,旧基尔巴的小屋废墟
180715735,Vlerd'kern Orchard,Vlerd'Kern果园
181764321,The Verhtin Graveyard,Verhtin墓地
182812943,Lellte Manor,莱尔特庄园
183862425,Mesettuara,Mesettuara
184911071,Shrine of Ephen,埃芬神社
185960624,The Lair of Disporgoniva,disporgoniva的巢穴
187009243,Doj Manor,司法部庄园
188058712,Reliquary of Sai,Sai的遗物
189107315,The Rishke Cemetery,里什克公墓
190155935,M'izt Court,M'izt法院
191204528,The B'ug Excavation,B'ug发掘
192253106,Choldam's Guard,Choldam的后卫
193301694,Vofyler Grange,Vofyler Grange
194350278,Tulaakasia,图拉卡西亚
195398863,The Khernten Farmstead,Khernten Farmstead
196448324,The Tombs of Vager,坟墓更含糊
197496981,Tower T'all,塔
198546494,Agibunu,阿吉布努
199595078,Agotudata,Agotudata
200643689,The Baurhtin Plantation,Baurhtin种植园
201692294,The Rusty Hedgehog Tavern,生锈的刺猬小酒馆
202740872,The D'othar Graveyard,D'Othar墓地
203789460,Weeping Sunrise of Arkay,哭泣的日出Arkay
204838962,The Flill Ruins,薄片废墟
205887566,The Lathja Cabal,Lathja阴谋集团
206936158,Blessed Martyr of Arkay,阿尔凯的祝福烈士
207985722,Sage Monument,鼠尾草纪念碑
209034323,Silent Light of Arkay,Arkay的无声光
210082903,The Cich Plantation,CICH种植园
211132497,The Glach'kern Farmstead,Glach'kern Farmstead
212182056,The Knave and Griffin Hostel,Knave和Griffin旅馆
